ChatGPT PR,Non-ChatGPT PR,Similarity Score
https://github.com/huseyinbagator/react-demo-todo-app/pull/8,https://github.com/huseyinbagator/react-demo-todo-app/pull/5,0.71
https://github.com/livingbio/gpt-fn/pull/4,https://github.com/livingbio/gpt-fn/pull/37,0.84
https://github.com/code-in-design/pass-frontend/pull/21,https://github.com/code-in-design/pass-frontend/pull/20,0.71
https://github.com/millwheel/delivery-application/pull/1,https://github.com/millwheel/delivery-application/pull/2,0.75
https://github.com/monarch-initiative/oai-monarch-plugin/pull/39,https://github.com/monarch-initiative/oai-monarch-plugin/pull/38,0.91
https://github.com/lcompilers/lpython/pull/1885,https://github.com/lcompilers/lpython/pull/1902,0.63
https://github.com/2Abendsegler/GClh/pull/2376,https://github.com/2Abendsegler/GClh/pull/2368,0.48
https://github.com/bloxapp/ssv-web/pull/277,https://github.com/bloxapp/ssv-web/pull/273,0.69
https://github.com/SchemaStore/schemastore/pull/3002,https://github.com/SchemaStore/schemastore/pull/3007,0.53
https://github.com/prgrms-be-devcourse/springboot-jpa/pull/248,https://github.com/prgrms-be-devcourse/springboot-jpa/pull/259,0.82
https://github.com/roslinmahmud/easy-hire-backend/pull/11,https://github.com/roslinmahmud/easy-hire-backend/pull/3,0.45
https://github.com/temporalio/temporal/pull/4558,https://github.com/temporalio/temporal/pull/4573,0.63
https://github.com/ykdojo/kaguya/pull/16,https://github.com/ykdojo/kaguya/pull/17,0.59
https://github.com/maro114510/Markdown_Viewer/pull/83,https://github.com/maro114510/Markdown_Viewer/pull/66,0.79
https://github.com/SSWConsulting/SSW.Website/pull/931,https://github.com/SSWConsulting/SSW.Website/pull/956,0.83
https://github.com/gcarlos64/linux/pull/4,https://github.com/gcarlos64/linux/pull/5,0.68
https://github.com/qin-team-recipe/05-recipe-app/pull/62,https://github.com/qin-team-recipe/05-recipe-app/pull/74,0.68
https://github.com/KudoAI/chatgpt.js/pull/92,https://github.com/KudoAI/chatgpt.js/pull/74,0.59
https://github.com/daydule/frontend/pull/35,https://github.com/daydule/frontend/pull/33,0.47
https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/4,https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/2,0.41
https://github.com/VOICEVOX/voicevox/pull/1384,https://github.com/VOICEVOX/voicevox/pull/1378,0.74
https://github.com/VOICEVOX/voicevox/pull/1470,https://github.com/VOICEVOX/voicevox/pull/1400,0.43
https://github.com/VOICEVOX/voicevox/pull/1404,https://github.com/VOICEVOX/voicevox/pull/1443,0.46
https://github.com/VOICEVOX/voicevox/pull/1492,https://github.com/VOICEVOX/voicevox/pull/1364,0.59
https://github.com/ggerganov/llama.cpp/pull/1775,https://github.com/ggerganov/llama.cpp/pull/1762,0.71
https://github.com/ggerganov/llama.cpp/pull/1807,https://github.com/ggerganov/llama.cpp/pull/1862,0.69
https://github.com/ggerganov/llama.cpp/pull/1684,https://github.com/ggerganov/llama.cpp/pull/1632,0.48
https://github.com/telosnetwork/open-block-explorer/pull/712,https://github.com/telosnetwork/open-block-explorer/pull/710,0.38
https://github.com/lfortran/lfortran/pull/1788,https://github.com/lfortran/lfortran/pull/1805,0.65
https://github.com/dust-tt/dust/pull/508,https://github.com/dust-tt/dust/pull/487,0.44
https://github.com/wafflestudio/wacruit-server/pull/26,https://github.com/wafflestudio/wacruit-server/pull/11,0.73
https://github.com/skrub-data/skrub/pull/581,https://github.com/skrub-data/skrub/pull/582,0.77
https://github.com/bytedeck/bytedeck/pull/1451,https://github.com/bytedeck/bytedeck/pull/1447,0.34
https://github.com/Ludeon/RimWorld-ru/pull/1571,https://github.com/Ludeon/RimWorld-ru/pull/1575,0.67
https://github.com/databrickslabs/pyspark-ai/pull/1,https://github.com/pyspark-ai/pyspark-ai/pull/11,0.62
https://github.com/kazuki1023/template_ph3_website_private/pull/16,https://github.com/kazuki1023/template_ph3_website_private/pull/10,0.54
https://github.com/faker-js/faker/pull/2230,https://github.com/faker-js/faker/pull/2240,0.6
https://github.com/PostHog/posthog.com/pull/6456,https://github.com/PostHog/posthog.com/pull/6444,0.58
https://github.com/PolicyEngine/policyengine-us/pull/2764,https://github.com/PolicyEngine/policyengine-us/pull/2693,0.55
https://github.com/snapshot-labs/snapshot/pull/3937,https://github.com/snapshot-labs/snapshot/pull/3942,0.53
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/91,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/81,1.0
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/92,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/83,1.0
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/84,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/89,1.0
https://github.com/internetarchive/iaux-collection-browser/pull/261,https://github.com/internetarchive/iaux-collection-browser/pull/259,0.37
https://github.com/PaulRBerg/prb-proxy/pull/119,https://github.com/PaulRBerg/prb-proxy/pull/117,0.67
https://github.com/rails/rails/pull/48576,https://github.com/rails/rails/pull/48607,0.88
https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/pull/30,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/pull/17,0.41
https://github.com/fscarmen2/Argo-Nezha-Service-Container/pull/23,https://github.com/fscarmen2/Argo-Nezha-Service-Container/pull/25,0.5
https://github.com/binary-com/deriv-app/pull/9007,https://github.com/binary-com/deriv-app/pull/9010,0.64
https://github.com/OpenAdaptAI/OpenAdapt/pull/228,https://github.com/OpenAdaptAI/OpenAdapt/pull/226,0.94
https://github.com/VOICEVOX/voicevox_engine/pull/716,https://github.com/VOICEVOX/voicevox_engine/pull/715,0.37
https://github.com/nickbabcock/OhmGraphite/pull/379,https://github.com/nickbabcock/OhmGraphite/pull/378,0.69
https://github.com/openai/evals/pull/771,https://github.com/openai/evals/pull/1004,0.73
https://github.com/openai/evals/pull/1083,https://github.com/openai/evals/pull/764,0.83
https://github.com/VOICEVOX/voicevox_core/pull/555,https://github.com/VOICEVOX/voicevox_core/pull/534,0.5
https://github.com/VOICEVOX/voicevox_core/pull/532,https://github.com/VOICEVOX/voicevox_core/pull/553,0.67
https://github.com/VOICEVOX/voicevox_core/pull/538,https://github.com/VOICEVOX/voicevox_core/pull/558,0.75
https://github.com/unoplatform/uno/pull/12428,https://github.com/unoplatform/uno/pull/12440,0.37
https://github.com/4dn-dcic/foursight-core/pull/50,https://github.com/4dn-dcic/foursight-core/pull/49,0.37
https://github.com/wahanegi/vibereport/pull/64,https://github.com/wahanegi/vibereport/pull/57,0.63
https://github.com/simonw/llm/pull/65,https://github.com/simonw/llm/pull/66,0.49
https://github.com/mindee/doctr/pull/1205,https://github.com/mindee/doctr/pull/1210,0.56
https://github.com/xebia-functional/xef/pull/343,https://github.com/xebia-functional/xef/pull/327,0.59
https://github.com/tisztamo/Junior/pull/55,https://github.com/tisztamo/Junior/pull/48,0.77
https://github.com/tisztamo/Junior/pull/36,https://github.com/tisztamo/Junior/pull/50,0.6
https://github.com/Email-Generation/email_generation/pull/2,https://github.com/Email-Generation/email_generation/pull/5,0.22
https://github.com/jojazpeitia/skinguessr/pull/11,https://github.com/jojazpeitia/skinguessr/pull/24,0.78
https://github.com/sleepyRias/BetterSteam/pull/76,https://github.com/sleepyRias/BetterSteam/pull/66,0.49
https://github.com/bbelderbos/htmx-demo/pull/2,https://github.com/bbelderbos/htmx-demo/pull/1,0.43
https://github.com/app-sre/qontract-reconcile/pull/3630,https://github.com/app-sre/qontract-reconcile/pull/3639,0.63
https://github.com/zkSNACKs/WalletWasabi/pull/11281,https://github.com/zkSNACKs/WalletWasabi/pull/11298,0.55
https://github.com/netdata/netdata/pull/15455,https://github.com/netdata/netdata/pull/15418,0.64
https://github.com/tsenart/vegeta/pull/638,https://github.com/tsenart/vegeta/pull/636,0.35
https://github.com/Miller-RS/DistributedMiningNetwork/pull/8,https://github.com/Miller-RS/DistributedMiningNetwork/pull/10,0.61
https://github.com/dswcodes0/StatChat/pull/30,https://github.com/dswcodes0/StatChat/pull/29,0.4
https://github.com/MrNeRF/gaussian-splatting-cuda/pull/23,https://github.com/MrNeRF/gaussian-splatting-cuda/pull/18,0.48
https://github.com/SSWConsulting/SSW.Website/pull/1284,https://github.com/SSWConsulting/SSW.Website/pull/1134,0.76
https://github.com/reworkd/AgentGPT/pull/897,https://github.com/reworkd/AgentGPT/pull/941,0.54
https://github.com/danny-avila/LibreChat/pull/756,https://github.com/danny-avila/LibreChat/pull/747,0.39
https://github.com/ubiquity/ubiquity-dollar/pull/724,https://github.com/ubiquity/ubiquity-dollar/pull/717,0.48
https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://github.com/citusdata/activerecord-multi-tenant/pull/201,0.34
https://github.com/dwyl/imgup/pull/64,https://github.com/dwyl/imgup/pull/65,0.39
https://github.com/OSRSB/OsrsBot/pull/301,https://github.com/OSRSB/OsrsBot/pull/296,0.26
https://github.com/picobyte/stable-diffusion-webui-wd14-tagger/pull/4,https://github.com/picobyte/stable-diffusion-webui-wd14-tagger/pull/6,0.29
https://github.com/mdn/content/pull/27070,https://github.com/mdn/content/pull/27101,0.67
https://github.com/astahmer/openapi-zod-client/pull/151,https://github.com/astahmer/openapi-zod-client/pull/154,0.38
https://github.com/jhipster/generator-jhipster/pull/22429,https://github.com/jhipster/generator-jhipster/pull/22452,0.31
https://github.com/roboflow/supervision/pull/177,https://github.com/roboflow/supervision/pull/171,0.45
https://github.com/sashabaranov/go-openai/pull/377,https://github.com/sashabaranov/go-openai/pull/354,0.48
https://github.com/torrust/torrust-index-frontend/pull/185,https://github.com/torrust/torrust-index-gui/pull/179,0.47
https://github.com/rust-lang/rfcs/pull/3463,https://github.com/rust-lang/rfcs/pull/3464,0.51
https://github.com/VOICEVOX/voicevox/pull/1374,https://github.com/VOICEVOX/voicevox/pull/1448,0.37
https://github.com/KomodoPlatform/komodo-wallet-mobile/pull/37,https://github.com/KomodoPlatform/komodo-wallet-mobile/pull/41,0.54
https://github.com/SSWConsulting/SSW.Rules.Content/pull/6250,https://github.com/SSWConsulting/SSW.Rules.Content/pull/6238,0.75
https://github.com/aemartinez/gpt-latex-translator/pull/2,https://github.com/aemartinez/gpt-latex-translator/pull/1,0.54
https://github.com/Hochfrequenz/kohlrahbi/pull/158,https://github.com/Hochfrequenz/kohlrahbi/pull/159,0.78
https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/16,https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/26,0.85
https://github.com/Theta-Limited/OpenAthenaAndroid/pull/82,https://github.com/Theta-Limited/OpenAthenaAndroid/pull/90,1.0
https://github.com/MatrixAI/Polykey/pull/552,https://github.com/MatrixAI/Polykey/pull/555,0.55
https://github.com/ubiquity/ubiquibot/pull/608,https://github.com/ubiquity/ubiquibot/pull/604,0.54
https://github.com/poki/netlib/pull/50,https://github.com/poki/netlib/pull/51,0.41
https://github.com/konfuzio-ai/konfuzio-sdk/pull/296,https://github.com/konfuzio-ai/konfuzio-sdk/pull/295,0.26
https://github.com/jst-seminar-rostlab-tum/truffle-ai-backend/pull/52,https://github.com/viets-software-club/truffle-ai-backend/pull/47,0.56
https://github.com/arrocke/gloss-translation/pull/114,https://github.com/arrocke/gloss-translation/pull/118,0.34
https://github.com/paul-gauthier/aider/pull/119,https://github.com/paul-gauthier/aider/pull/144,0.38
https://github.com/GaloyMoney/galoy-mobile/pull/2361,https://github.com/GaloyMoney/galoy-mobile/pull/2381,0.43
https://github.com/dotCMS/core/pull/25432,https://github.com/dotCMS/core/pull/25470,0.43
https://github.com/gravitational/teleport/pull/19316,https://github.com/gravitational/teleport/pull/19258,0.52
https://github.com/netdata/netdata/pull/15485,https://github.com/netdata/netdata/pull/15519,0.6
https://github.com/nbd-wtf/nostr-tools/pull/241,https://github.com/nbd-wtf/nostr-tools/pull/244,0.38
https://github.com/gradio-app/gradio/pull/5179,https://github.com/gradio-app/gradio/pull/5119,0.62
https://github.com/osmosis-labs/osmosis-frontend/pull/1936,https://github.com/osmosis-labs/osmosis-frontend/pull/1942,0.44
https://github.com/daeuniverse/dae/pull/300,https://github.com/daeuniverse/dae/pull/305,0.19
https://github.com/swarmion/swarmion/pull/678,https://github.com/swarmion/swarmion/pull/679,0.48
https://github.com/SWM14-Architect/moview-core-service/pull/12,https://github.com/SWM14-Architect/moview-core-service/pull/28,0.52
https://github.com/CodeIntelligenceTesting/cifuzz/pull/838,https://github.com/CodeIntelligenceTesting/cifuzz/pull/834,0.36
https://github.com/decred/dcrdex/pull/2333,https://github.com/decred/dcrdex/pull/2323,0.16
https://github.com/hoshotakamoto/banzukesurfing/pull/4,https://github.com/hoshotakamoto/banzukesurfing/pull/15,0.72
https://github.com/hoshotakamoto/banzukesurfing/pull/12,https://github.com/hoshotakamoto/banzukesurfing/pull/18,0.8
https://github.com/hoshotakamoto/banzukesurfing/pull/9,https://github.com/hoshotakamoto/banzukesurfing/pull/10,0.64
https://github.com/Altinity/clickhouse-backup/pull/648,https://github.com/Altinity/clickhouse-backup/pull/687,0.41
https://github.com/ActivityWatch/aw-webui/pull/455,https://github.com/ActivityWatch/aw-webui/pull/448,0.48
https://github.com/open-learning-exchange/myplanet/pull/2230,https://github.com/open-learning-exchange/myplanet/pull/2205,0.83
https://github.com/open-learning-exchange/myplanet/pull/2212,https://github.com/open-learning-exchange/myplanet/pull/2259,0.5
https://github.com/open-learning-exchange/myplanet/pull/2234,https://github.com/open-learning-exchange/myplanet/pull/2209,0.47
https://github.com/open-learning-exchange/myplanet/pull/2215,https://github.com/open-learning-exchange/myplanet/pull/2292,0.43
https://github.com/cucumber/docs/pull/890,https://github.com/cucumber/docs/pull/911,0.42
https://github.com/open-learning-exchange/myplanet/pull/2232,https://github.com/open-learning-exchange/myplanet/pull/2184,0.37
https://github.com/open-learning-exchange/myplanet/pull/2231,https://github.com/open-learning-exchange/myplanet/pull/2302,0.54
https://github.com/energietransitie/twomes-p1-reader-firmware/pull/2,https://github.com/energietransitie/twomes-p1-reader-firmware/pull/18,0.08
https://github.com/coderdojo-japan/coderdojo.jp/pull/1543,https://github.com/coderdojo-japan/coderdojo.jp/pull/1540,0.23
https://github.com/JJConsulting/JJMasterData/pull/131,https://github.com/JJConsulting/JJMasterData/pull/143,0.32
https://github.com/labd/terraform-provider-storyblok/pull/9,https://github.com/labd/terraform-provider-storyblok/pull/39,0.12
https://github.com/PrivateBin/PrivateBin/pull/1134,https://github.com/PrivateBin/PrivateBin/pull/823,0.31
https://github.com/mlc-ai/web-stable-diffusion/pull/52,https://github.com/mlc-ai/web-stable-diffusion/pull/51,0.07
https://github.com/metaphorsystems/metaphor-python/pull/5,https://github.com/metaphorsystems/metaphor-python/pull/3,0.58
https://github.com/bancaditalia/black-it/pull/58,https://github.com/bancaditalia/black-it/pull/63,0.32
https://github.com/mcagov/beacons/pull/539,https://github.com/mcagov/beacons/pull/534,0.86
https://github.com/VOICEVOX/pyopenjtalk/pull/18,https://github.com/VOICEVOX/pyopenjtalk/pull/20,0.09
https://github.com/Wissididom/Bonbon-Reminder-StreamElements/pull/1,https://github.com/Wissididom/Bonbon-Reminder-StreamElements/pull/2,0.79
https://github.com/FixMyBerlin/atlas-app/pull/45,https://github.com/FixMyBerlin/atlas-app/pull/40,0.18
https://github.com/laravel-json-api/core/pull/12,https://github.com/laravel-json-api/core/pull/11,0.09
https://github.com/jefftriplett/frontmatter-cli/pull/6,https://github.com/jefftriplett/frontmatter-cli/pull/1,0.13
https://github.com/ryoikegata/template-ph3-website/pull/1,https://github.com/ryoikegata/template-ph3-website/pull/2,0.79
https://github.com/StreamSG/ABCWorkshop/pull/38,https://github.com/StreamSG/ABCWorkshop/pull/36,0.48
